,Time,mV,mA,mAh,CPU,Power
0,0,12718,-980,5649,17.8,12.46364
1,4,12718,-980,5649,28.9,12.46364
2,7,12718,-980,5649,33.9,12.46364
3,11,12718,-980,5649,33.8,12.46364
4,15,12718,-980,5649,38.3,12.46364
5,18,12718,-980,5649,37.8,12.46364
6,22,12718,-1013,5635,41.5,12.883334
7,26,12718,-1013,5635,20.3,12.883334
8,30,12718,-1013,5635,22.2,12.883334
9,33,12718,-1013,5635,49.3,12.883334
10,37,12718,-1013,5635,40.8,12.883334
11,41,12718,-1013,5635,41.5,12.883334
12,45,12718,-1013,5635,37.6,12.883334
13,48,12718,-1013,5635,36.0,12.883334
14,52,12718,-1013,5635,19.8,12.883334
15,56,12718,-1013,5635,22.8,12.883334
16,59,12718,-1013,5635,17.8,12.883334
17,63,12718,-1013,5635,22.1,12.883334
18,67,12718,-1013,5635,43.2,12.883334
19,71,12718,-1013,5635,29.4,12.883334
20,74,12718,-1013,5635,15.1,12.883334
21,78,12718,-1013,5635,20.6,12.883334
22,82,12554,-1052,5607,18.3,13.206807999999999
23,85,12554,-1052,5607,20.8,13.206807999999999
24,89,12554,-1052,5607,16.9,13.206807999999999
25,93,12554,-1052,5607,16.0,13.206807999999999
26,96,12554,-1052,5607,16.9,13.206807999999999
27,100,12554,-1052,5607,40.5,13.206807999999999
28,104,12554,-1052,5607,38.2,13.206807999999999
29,107,12554,-1052,5607,24.2,13.206807999999999
30,111,12554,-1052,5607,27.3,13.206807999999999
31,115,12554,-1052,5607,25.7,13.206807999999999
32,119,12554,-1052,5607,36.4,13.206807999999999
33,122,12554,-1052,5607,41.6,13.206807999999999
34,126,12554,-1052,5607,31.2,13.206807999999999
35,130,12554,-1052,5607,39.1,13.206807999999999
36,133,12554,-1052,5607,42.3,13.206807999999999
37,137,12554,-1052,5607,35.1,13.206807999999999
38,141,12554,-1052,5590,30.5,13.206807999999999
39,144,12554,-1110,5590,32.0,13.93494
40,148,12554,-1110,5590,30.6,13.93494
41,152,12554,-1110,5590,26.1,13.93494
42,156,12554,-1110,5590,37.5,13.93494
43,159,12554,-1110,5590,29.7,13.93494
44,163,12554,-1110,5590,37.0,13.93494
45,167,12554,-1110,5590,28.8,13.93494
46,170,12554,-1110,5590,32.3,13.93494
47,174,12554,-1110,5590,40.9,13.93494
48,178,12554,-1110,5590,36.6,13.93494
49,182,12554,-1110,5590,31.3,13.93494
50,185,12554,-1110,5590,30.6,13.93494
51,189,12554,-1110,5590,30.3,13.93494
52,193,12554,-1110,5590,29.2,13.93494
53,196,12554,-1110,5590,29.4,13.93494
54,200,12554,-1110,5590,36.7,13.93494
55,204,12554,-1085,5572,34.6,13.621089999999999
56,207,12554,-1085,5572,31.5,13.621089999999999
57,211,12554,-1085,5572,29.2,13.621089999999999
58,215,12554,-1085,5572,30.8,13.621089999999999
59,218,12554,-1085,5572,29.5,13.621089999999999
60,222,12554,-1085,5572,31.3,13.621089999999999
61,226,12554,-1085,5572,29.4,13.621089999999999
62,229,12554,-1085,5572,32.8,13.621089999999999
63,233,12554,-1085,5572,44.3,13.621089999999999
64,237,12554,-1085,5572,38.3,13.621089999999999
65,241,12554,-1085,5572,30.7,13.621089999999999
66,244,12554,-1085,5572,36.6,13.621089999999999
67,248,12554,-1085,5572,27.0,13.621089999999999
68,252,12554,-1085,5572,31.7,13.621089999999999
69,255,12554,-1085,5572,29.1,13.621089999999999
70,259,12554,-1085,5572,33.8,13.621089999999999
71,263,12554,-1125,5553,30.0,14.123249999999999
72,266,12554,-1125,5553,18.5,14.123249999999999
73,270,12554,-1125,5553,33.3,14.123249999999999
74,274,12554,-1125,5553,34.4,14.123249999999999
75,278,12554,-1125,5553,34.6,14.123249999999999
76,281,12554,-1125,5553,42.7,14.123249999999999
77,285,12554,-1125,5553,46.8,14.123249999999999
78,289,12554,-1125,5553,34.9,14.123249999999999
79,292,12554,-1125,5553,29.1,14.123249999999999
80,296,12554,-1125,5553,29.2,14.123249999999999
81,300,12554,-1125,5553,34.2,14.123249999999999
82,303,12554,-1125,5553,26.6,14.123249999999999
83,307,12554,-1125,5553,10.0,14.123249999999999
84,311,12554,-1125,5553,9.7,14.123249999999999
85,314,12554,-1125,5553,12.3,14.123249999999999
86,318,12554,-1125,5553,8.6,14.123249999999999
87,322,12554,-805,5553,10.3,10.10597
88,325,12554,-805,5553,10.7,10.10597
89,329,12554,-805,5553,9.0,10.10597
90,332,12554,-805,5553,15.1,10.10597
91,336,12554,-805,5553,10.1,10.10597
92,340,12554,-805,5553,12.7,10.10597
93,344,12554,-805,5553,15.5,10.10597
94,347,12554,-805,5553,16.0,10.10597
95,351,12554,-805,5553,11.8,10.10597
96,355,12554,-805,5553,9.7,10.10597
97,358,12554,-805,5553,8.2,10.10597
98,362,12554,-805,5553,8.0,10.10597
99,365,12554,-805,5553,9.0,10.10597
100,369,12554,-805,5553,8.3,10.10597
101,373,12554,-805,5553,9.2,10.10597
102,376,12554,-805,5553,9.8,10.10597
103,380,12554,-805,5553,11.4,10.10597
104,384,12554,-645,5551,16.7,8.09733
105,387,12554,-645,5551,13.4,8.09733
106,391,12554,-645,5551,16.7,8.09733
107,395,12554,-645,5551,18.4,8.09733
108,398,12554,-645,5551,16.3,8.09733
109,402,12554,-645,5551,10.4,8.09733
110,405,12554,-645,5551,8.6,8.09733
111,409,12554,-645,5551,8.7,8.09733
112,413,12554,-645,5551,8.1,8.09733
113,416,12554,-645,5551,8.1,8.09733
114,420,12554,-645,5551,10.2,8.09733
115,423,12554,-645,5551,11.1,8.09733
116,427,12554,-645,5551,16.6,8.09733
117,431,12554,-645,5551,9.6,8.09733
118,434,12554,-645,5551,9.4,8.09733
119,438,12554,-645,5551,13.6,8.09733
120,442,12554,-674,5536,8.0,8.461395999999999
121,445,12554,-674,5536,8.0,8.461395999999999
122,449,12554,-674,5536,11.0,8.461395999999999
123,452,12554,-674,5536,22.7,8.461395999999999
124,456,12554,-674,5536,13.5,8.461395999999999
125,460,12554,-674,5536,6.6,8.461395999999999
126,463,12554,-674,5536,6.2,8.461395999999999
127,467,12554,-674,5536,8.2,8.461395999999999
128,470,12554,-674,5536,13.5,8.461395999999999
129,474,12554,-674,5536,11.4,8.461395999999999
130,478,12554,-674,5536,6.8,8.461395999999999
131,481,12554,-674,5536,8.9,8.461395999999999
132,485,12554,-674,5536,12.6,8.461395999999999
133,489,12554,-674,5536,11.6,8.461395999999999
134,492,12554,-674,5536,8.7,8.461395999999999
135,496,12554,-674,5536,11.6,8.461395999999999
136,499,12554,-674,5536,16.0,8.461395999999999
137,503,12554,-755,5523,21.6,9.47827
138,507,12554,-755,5523,25.4,9.47827
139,511,12554,-755,5523,77.2,9.47827
140,515,12554,-755,5523,74.9,9.47827
141,518,12554,-755,5523,83.6,9.47827
142,522,12554,-755,5523,64.9,9.47827
143,526,12554,-755,5523,6.6,9.47827
144,529,12554,-755,5523,27.6,9.47827
145,533,12554,-755,5523,43.9,9.47827
146,537,12554,-755,5523,83.6,9.47827
147,541,12554,-755,5523,50.0,9.47827
148,545,12554,-755,5523,35.1,9.47827
149,548,12554,-755,5523,32.5,9.47827
150,552,12554,-755,5523,43.3,9.47827
151,556,12554,-755,5523,34.3,9.47827
152,559,12554,-755,5523,30.6,9.47827
153,563,12554,-1217,5475,31.1,15.278217999999999
154,567,12554,-1217,5475,33.9,15.278217999999999
155,570,12554,-1217,5475,38.3,15.278217999999999
156,574,12554,-1217,5475,30.8,15.278217999999999
157,578,12554,-1217,5475,32.5,15.278217999999999
158,581,12554,-1217,5475,32.3,15.278217999999999
159,585,12554,-1217,5475,37.6,15.278217999999999
160,589,12554,-1217,5475,32.3,15.278217999999999
161,593,12554,-1217,5475,30.6,15.278217999999999
162,596,12554,-1217,5475,31.2,15.278217999999999
163,600,12554,-1217,5475,32.5,15.278217999999999
164,604,12554,-1217,5475,30.8,15.278217999999999
165,607,12554,-1217,5475,29.8,15.278217999999999
166,611,12554,-1217,5475,32.2,15.278217999999999
167,615,12554,-1217,5475,28.6,15.278217999999999
168,618,12554,-1217,5475,8.0,15.278217999999999
169,622,12554,-856,5474,8.1,10.746224
170,625,12554,-856,5474,8.0,10.746224
171,629,12554,-856,5474,12.6,10.746224
172,633,12554,-856,5474,10.8,10.746224
173,636,12554,-856,5474,7.3,10.746224
174,640,12554,-856,5474,9.9,10.746224
175,644,12554,-856,5474,14.0,10.746224
176,647,12554,-856,5474,15.2,10.746224
177,651,12554,-856,5474,10.5,10.746224
178,654,12554,-856,5474,14.8,10.746224
179,658,12554,-856,5474,9.7,10.746224
180,662,12554,-856,5474,9.6,10.746224
181,665,12554,-856,5474,11.4,10.746224
182,669,12554,-856,5474,11.7,10.746224
183,673,12554,-856,5474,10.9,10.746224
184,676,12554,-856,5474,7.2,10.746224
185,680,12554,-856,5474,7.2,10.746224
186,683,12536,-557,5484,7.8,6.982552
187,687,12536,-557,5484,6.0,6.982552
188,691,12536,-557,5484,6.2,6.982552
189,694,12536,-557,5484,6.6,6.982552
190,698,12536,-557,5484,6.0,6.982552
191,701,12536,-557,5484,6.3,6.982552
192,705,12536,-557,5484,6.4,6.982552
193,709,12536,-557,5484,6.1,6.982552
194,712,12536,-557,5484,7.6,6.982552
195,716,12536,-557,5484,8.4,6.982552
196,719,12536,-557,5484,12.9,6.982552
197,723,12536,-557,5484,7.4,6.982552
198,727,12536,-557,5484,6.7,6.982552
199,730,12536,-557,5484,6.7,6.982552
200,734,12536,-557,5484,7.5,6.982552
201,738,12536,-557,5484,6.8,6.982552
202,741,12536,-522,5475,6.4,6.543792
203,745,12536,-522,5475,6.6,6.543792
204,748,12536,-522,5475,6.3,6.543792
205,752,12536,-522,5475,6.5,6.543792
206,756,12536,-522,5475,6.6,6.543792
207,759,12536,-522,5475,7.9,6.543792
208,763,12536,-522,5475,7.1,6.543792
209,766,12536,-522,5475,9.9,6.543792
210,770,12536,-522,5475,7.5,6.543792
211,774,12536,-522,5475,7.3,6.543792
212,777,12536,-522,5475,5.9,6.543792
213,781,12536,-522,5475,9.0,6.543792
214,784,12536,-522,5475,6.2,6.543792
215,788,12536,-522,5475,6.0,6.543792
216,792,12536,-522,5475,6.4,6.543792
217,795,12536,-522,5475,6.8,6.543792
218,799,12536,-522,5475,6.1,6.543792
219,803,12536,-478,5472,6.2,5.992208
220,806,12536,-478,5472,6.2,5.992208
221,810,12536,-478,5472,6.0,5.992208
222,813,12536,-478,5472,6.2,5.992208
223,817,12536,-478,5472,6.1,5.992208
224,821,12536,-478,5472,8.1,5.992208
225,824,12536,-478,5472,21.7,5.992208
226,828,12536,-478,5472,20.7,5.992208
227,832,12536,-478,5472,6.9,5.992208
228,835,12536,-478,5472,6.2,5.992208
