System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt),GT Frequency(MHz)
12:38:14:240,2591161465922,   0.184, 1300,   1.772,   0.173,   0.048,   0.250,   0.024,   0.007, 44,0,28.0,  166
12:38:14:338,2591445381782,   0.282, 1300,   1.747,   0.344,   0.096,   0.095,   0.034,   0.009, 43,0,28.0,  166
12:38:14:442,2591747756003,   0.386, 1300,   2.284,   0.583,   0.162,   0.511,   0.087,   0.024, 44,0,28.0,  283
12:38:14:537,2592023004539,   0.481, 1300,   2.038,   0.776,   0.216,   0.163,   0.103,   0.028, 43,0,28.0,  283
12:38:14:637,2592313113857,   0.581, 1700,   2.741,   1.050,   0.292,   0.999,   0.202,   0.056, 45,0,28.0,  233
12:38:14:737,2592602862358,   0.681, 1700,   3.276,   1.378,   0.383,   1.385,   0.341,   0.095, 45,0,28.0,  166
12:38:14:837,2592892958079,   0.781, 1700,   3.164,   1.694,   0.471,   1.015,   0.442,   0.123, 44,0,28.0,  166
12:38:14:943,2593197777732,   0.886, 1300,   1.670,   1.870,   0.519,   0.229,   0.466,   0.130, 44,0,28.0,  166
12:38:15:037,2593473141449,   0.981, 3300,   4.634,   2.310,   0.642,   3.287,   0.779,   0.216, 47,0,28.0,  166
12:38:15:139,2593766607969,   1.082, 1700,   6.528,   2.970,   0.825,   4.712,   1.255,   0.349, 45,0,28.0,  166
12:38:15:241,2594064099537,   1.185, 3300,   9.394,   3.934,   1.093,   7.713,   2.047,   0.569, 50,0,28.0,  166
12:38:15:338,2594345044444,   1.282, 1300,   7.319,   4.643,   1.290,   5.603,   2.589,   0.719, 46,0,28.0,  166
12:38:15:438,2594634400025,   1.382, 3300,   8.636,   5.505,   1.529,   6.973,   3.285,   0.913, 50,0,28.0,  166
12:38:15:538,2594923649382,   1.481, 1700,   7.771,   6.280,   1.744,   6.070,   3.891,   1.081, 46,0,28.0,  166
12:38:15:638,2595214155906,   1.582, 1700,   6.841,   6.965,   1.935,   5.120,   4.404,   1.223, 46,0,28.0,  166
12:38:15:738,2595504666202,   1.682, 1300,   2.475,   7.213,   2.004,   0.440,   4.448,   1.235, 45,0,28.0,  166
12:38:15:843,2595807755843,   1.786, 1300,   1.834,   7.405,   2.057,   0.196,   4.468,   1.241, 44,0,28.0,  166
12:38:15:940,2596090950130,   1.884, 1300,   2.131,   7.613,   2.115,   0.592,   4.526,   1.257, 43,0,28.0,  166
12:38:16:043,2596387805754,   1.986, 1300,   1.332,   7.749,   2.153,   0.140,   4.540,   1.261, 44,0,28.0,  166
12:38:16:143,2596677658671,   2.086, 1300,   1.853,   7.935,   2.204,   0.211,   4.561,   1.267, 44,0,28.0,  166
12:38:16:238,2596955055772,   2.182, 1700,   3.555,   8.275,   2.299,   2.148,   4.767,   1.324, 45,0,28.0,  166
12:38:16:338,2597245048551,   2.282, 1700,   4.617,   8.736,   2.427,   3.128,   5.080,   1.411, 46,0,28.0,  166
12:38:16:443,2597547642890,   2.386, 1300,   3.799,   9.133,   2.537,   2.206,   5.310,   1.475, 44,0,28.0,  283
12:38:16:538,2597823131295,   2.481, 1300,   2.075,   9.330,   2.592,   0.330,   5.341,   1.484, 44,0,28.0,  283
12:38:16:638,2598113106619,   2.581, 2900,   2.436,   9.573,   2.659,   0.723,   5.413,   1.504, 45,0,28.0,  283
12:38:16:743,2598419366354,   2.687, 1700,   8.238,  10.443,   2.901,   6.658,   6.116,   1.699, 45,0,28.0,  283
12:38:16:841,2598702484473,   2.785, 3100,   7.295,  11.156,   3.099,   5.647,   6.668,   1.852, 48,0,28.0,  166
12:38:16:940,2598990041882,   2.884, 1700,  10.700,  12.217,   3.394,   9.102,   7.570,   2.103, 47,0,28.0,  166
12:38:17:039,2599276020480,   2.982, 3300,   7.108,  12.918,   3.588,   5.315,   8.094,   2.248, 51,0,28.0,  166
12:38:17:138,2599563618169,   3.081, 2900,  10.459,  13.955,   3.876,   8.839,   8.971,   2.492, 48,0,28.0,  166
12:38:17:241,2599863545412,   3.185, 3300,   5.632,  14.537,   4.038,   3.848,   9.369,   2.602, 53,0,28.0,  166
12:38:17:338,2600143468647,   3.281, 1700,   3.773,  14.902,   4.139,   2.054,   9.567,   2.658, 46,0,28.0,  166
12:38:17:438,2600433605648,   3.382, 1300,   2.703,  15.172,   4.214,   1.076,   9.675,   2.687, 45,0,28.0,  283
12:38:17:538,2600723743472,   3.482, 1300,   2.376,  15.410,   4.281,   0.676,   9.743,   2.706, 45,0,28.0,  283
12:38:17:639,2601017125165,   3.583, 1300,   2.440,  15.657,   4.349,   0.701,   9.814,   2.726, 44,0,28.0,  283
12:38:17:740,2601310728629,   3.684, 1300,   2.073,  15.867,   4.407,   0.649,   9.879,   2.744, 44,0,28.0,  283
12:38:17:841,2601603733537,   3.785, 1300,   2.181,  16.087,   4.469,   0.726,   9.953,   2.765, 44,0,28.0,  283
12:38:17:939,2601888246584,   3.883, 1300,   2.377,  16.320,   4.533,   0.668,  10.018,   2.783, 44,0,28.0,  283
12:38:18:038,2602174508363,   3.982, 1700,   3.142,  16.630,   4.619,   1.368,  10.153,   2.820, 44,0,28.0,  166
12:38:18:138,2602464665003,   4.082, 1300,   3.480,  16.978,   4.716,   1.606,  10.314,   2.865, 44,0,28.0,  166
12:38:18:238,2602754709518,   4.182, 1300,   3.580,  17.336,   4.816,   1.681,  10.482,   2.912, 45,0,28.0,  166
12:38:18:338,2603044847310,   4.282, 3300,   9.232,  18.260,   5.072,   7.604,  11.243,   3.123, 52,0,28.0,  166
12:38:18:440,2603340292566,   4.384, 3300,   6.169,  18.888,   5.247,   4.239,  11.675,   3.243, 51,0,28.0,  166
