Time,mV,mA,mAh,cpu_load
12:38:09:139982,11819,-787,3669,5.7
12:38:10:759085,11819,-787,3669,23.5
12:38:12:390611,11819,-787,3669,21.4
12:38:13:993952,11819,-787,3669,14.5
12:38:15:628270,11819,-787,3669,13.6
12:38:17:262193,11819,-787,3669,17.4
12:38:18:900304,11819,-787,3669,17.5
12:38:20:514538,11819,-787,3669,12.4
12:38:22:124789,11819,-787,3669,15.7
12:38:23:753061,11819,-981,3650,13.2
12:38:25:384713,11819,-981,3650,11.2
12:38:27:001445,11819,-981,3650,17.5
12:38:28:636177,11819,-981,3650,10.9
12:38:30:266797,11819,-981,3650,14.1
12:38:31:891278,11819,-981,3650,20.2
12:38:33:524062,11819,-981,3650,11.3
12:38:35:145126,11819,-981,3650,10.2
12:38:36:765440,11819,-981,3650,11.6
12:38:38:387802,11819,-981,3650,8.9
12:38:39:999377,11819,-981,3650,8.3
12:38:41:609006,11819,-981,3650,11.6
12:38:43:236272,11819,-981,3650,10.2
12:38:44:856406,11819,-981,3650,9.1
12:38:46:470075,11819,-981,3650,13.8
12:38:48:097345,11819,-981,3650,11.5
12:38:49:715333,11819,-981,3650,11.8
12:38:51:334355,11819,-981,3650,12.4
12:38:52:959075,11819,-981,3650,9.5
12:38:54:572656,11819,-981,3650,8.4
12:38:56:188631,11819,-981,3650,8.2
12:38:57:800213,11819,-981,3650,8.5
12:38:59:414600,11819,-981,3650,11.6
12:39:01:020239,11819,-981,3650,8.6
12:39:02:629033,11819,-981,3650,11.2
12:39:04:240684,11819,-981,3650,9.1
12:39:05:855758,11819,-981,3650,8.7
12:39:07:476633,11819,-981,3650,8.5
12:39:09:091505,11819,-981,3650,11.5
12:39:10:704926,11819,-981,3650,8.7
12:39:12:322329,11819,-981,3650,8.7
12:39:13:941409,11819,-981,3650,12.3
12:39:15:562044,11819,-981,3650,10.5
12:39:17:179967,11819,-981,3650,14.4
12:39:18:801673,11819,-981,3650,9.4
12:39:20:406932,11819,-981,3650,8.9
12:39:22:024825,11819,-981,3650,12.5
12:39:23:633337,11613,-954,3634,9.2
12:39:25:246206,11613,-954,3634,8.7
12:39:26:852347,11613,-954,3634,15.2
12:39:28:472271,11613,-954,3634,11.3
12:39:30:082085,11613,-954,3634,8.7
12:39:31:694005,11613,-954,3634,12.4
12:39:33:327232,11613,-954,3634,9.7
12:39:34:959945,11613,-954,3634,25.4
12:39:36:624223,11613,-954,3634,25.1
12:39:38:243795,11613,-954,3634,9.9
12:39:39:860644,11613,-954,3634,13.9
12:39:41:519865,11613,-954,3634,22.2
12:39:43:149185,11613,-954,3634,17.7
12:39:44:852224,11613,-954,3634,30.4
12:39:46:531736,11613,-954,3634,42.8
12:39:48:144754,11613,-954,3634,22.8
12:39:49:754973,11613,-954,3634,10.2
12:39:51:372666,11613,-954,3634,9.1
12:39:52:979358,11613,-954,3634,10.0
12:39:54:594483,11613,-954,3634,12.8
12:39:56:213663,11613,-954,3634,9.7
12:39:57:832025,11613,-954,3634,13.9
12:39:59:447690,11613,-954,3634,9.1
12:40:01:074478,11613,-954,3634,9.2
12:40:02:684068,11613,-954,3634,12.9
12:40:04:303658,11613,-954,3634,13.0
12:40:05:914921,11613,-954,3634,9.0
12:40:07:530002,11613,-954,3634,11.0
12:40:09:142809,11613,-954,3634,9.3
12:40:10:752789,11613,-954,3634,9.0
